template_id,template_name,description,parser,generator
creative-synthesis-v10,Creative Synthesis V10,Enhanced two-phase generation - Essay Phase,,llm
synthesis-theme-narrative-v16,Essay Synthesis V16,Main theme narrative approach with focused development,,llm
synthesis-theme-narrative-v17,Essay Synthesis V17,Consistent naming,,llm
synthesis-theme-narrative-v18,Essay Synthesis V18,Twice-shorter main theme narrative (600±200 words),,llm
synthesis-theme-narrative-v19,Essay Synthesis V19,Main theme narrative tuned for rolling-thread notes (600±200),,llm
parsed-from-links-v1,Parsed From Links (Final Idea),Parse final <essay-idea> from links output; no LLM,,copy
creative-synthesis-v8,Creative Synthesis V8,Two phase,,llm
creative-synthesis-v9,Creative Synthesis V9,Two phase,,llm
